date,neutral,rank_home,total_points_home,rank_change_home,rank_away,total_points_away,rank_change_away,winner,home_goals_avg,away_goals_avg,home_win_avg,away_win_avg,home_last_wins,away_last_wins,home_team_encoded,away_team_encoded,confederation_home_encoded,confederation_away_encoded,tournament_encoded
2023-03-21,False,156.0,1021.18,2.0,195.0,864.72,1.0,0,1.1428571428571428,0.8571428571428571,0.42857142857142855,0.14285714285714285,3,0,113,139,0,0,42
2023-03-22,True,81.0,1300.78,1.0,74.0,1326.86,0.0,0,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.14285714285714285,3,2,81,57,2,2,42
2023-03-22,False,106.0,1192.09,0.0,159.0,1006.16,1.0,0,1.2857142857142858,0.42857142857142855,0.42857142857142855,0.0,3,1,85,125,0,0,77
2023-03-22,False,175.0,956.94,0.0,187.0,905.51,0.0,0,0.7142857142857143,1.1428571428571428,0.2857142857142857,0.42857142857142855,0,0,127,100,0,0,77
2023-03-22,False,48.0,1438.59,-1.0,133.0,1116.96,-1.0,0,1.2857142857142858,1.8571428571428572,0.42857142857142855,0.7142857142857143,1,0,150,101,5,5,42
2023-03-23,False,18.0,1608.11,8.0,56.0,1405.71,0.0,0,1.1428571428571428,0.8571428571428571,0.42857142857142855,0.2857142857142857,2,1,51,65,5,5,79
2023-03-23,False,9.0,1702.54,0.0,198.0,859.84,2.0,0,2.2857142857142856,0.14285714285714285,0.5714285714285714,0.0,2,0,147,106,5,5,79
2023-03-23,False,57.0,1403.51,-1.0,63.0,1380.35,1.0,0,1.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0,0,25,84,5,5,79
2023-03-23,False,79.0,1305.47,-2.0,128.0,1127.34,0.0,0,1.4285714285714286,0.42857142857142855,0.5714285714285714,0.0,2,0,67,172,1,1,7
2023-03-23,False,145.0,1066.6,-1.0,135.0,1100.47,0.0,0,2.2857142857142856,1.1428571428571428,0.7142857142857143,0.42857142857142855,1,0,112,187,0,0,42
2023-03-23,False,40.0,1486.72,3.0,122.0,1148.53,1.0,0,1.4285714285714286,1.7142857142857142,0.8571428571428571,0.14285714285714285,5,0,2,132,1,1,7
2023-03-23,False,58.0,1400.02,-3.0,117.0,1158.81,-2.0,0,1.1428571428571428,1.2857142857142858,0.5714285714285714,0.5714285714285714,1,0,71,5,1,1,7
